Loci	ips
Adh4	4.30173
Adh6a	3.63115
Adhfe1	4.16512
Adipoq	2.93046
Admr	3.71349
Adora1	4.31226
Adora2b	5.56937
Adora3	4.38129
Adprhl1	5.31736
Adra1a	4.16291
Adra1b	4.83245
Adra2a$Adra2a	4.07466
Adra2b	4.42018
Adra2c	4.97926
Adrb1	3.02812
Adrb2	4.8193
Adrbk2	4.22837
Afap1l1	4.59399
Afap1l2	5.69236
Aff2	4.06829
Afmid	4.80189
Afp	3.79841
Agbl3	3.32815
Agbl5	6.26788
Ager	5.17783
Agmat	5.19978
Agr2	2.65528
Agr3	2.71054
Agtr1a	4.87404
Agtr1b	3.61534
Agtr2	2.46486
Agtrl1	4.015
Agxt	5.07184
Agxt2	2.5527
Agxt2l1	3.7965
Agxt2l2	6.48757
Ahrr	3.73013
Aicda	3.9452
Aifm3	5.19613
Aim2	5.86494
Aipl1	5.13413
Ajap1	4.03015
Ak5	5.26295
Akap14	4.11506
Akap3	4.41534
Akap4	4.37274
Akap6	4.69728
Akna	5.88583
Akp3	4.45071
Akr1b7	4.15382
Akr1c12$Akr1c12	4.25423
Akr1c13$Akr1c12	4.65288
Akr1c14	3.16166
Akr1c19	3.5926
Akr1c20	2.81402
Akr1c21	4.49658
Akr1c6	3.96524
Akr1d1	3.26828
Alas2	3.75808
Alb	4.01006
Aldh1a1	3.24971
Aldh1a2	5.41741
Aldh1a3	4.42587
Aldh1a7	3.50339
Aldh1b1	5.64507
Aldh1l1	5.76643
Aldh3b1	5.89025
Aldh8a1	4.6676
Aldob	4.38114
Alg11	6.06494
Alg12	6.25176
Alk	4.374
Alox12	4.13233
Alox12b	4.04519
Alox12e	5.04916
Alox15	4.70082
Alox8	3.48068
Alpi	5.22569
Als2	6.90581
Als2cl	6.54122
Als2cr11	2.45972
Als2cr12	4.0506
Alx1	2.68702
Alx3	4.50861
Alx4	4.74885
Amac1	5.70385
Amacr	6.30418
Ambn	2.75583
Ambp	3.83792
Amh	6.03669
Amhr2	5.70565
Amigo1	4.75642
Amigo2	3.92887
Ampd1	3.33518
Amy1	2.64852
Ang	4.02735
Ang2	3.94215
Ang4	4.19845
Angpt1	4.1642
Angpt2	4.55464
Angpt4	4.69922
Angptl1	4.30536
Angptl3	3.11348
Angptl4	2.43448
Ank1	5.3388
Ank2	3.92051
Ank3	5.897
Ankmy2	7.26002
Ankra2	6.52379
Ankrd12	5.83423
Ankrd13d	5.37072
Ankrd22	4.10737
Ankrd23	5.55533
Ankrd33	4.24268
Ankrd34	5.04064
Ankrd36	5.25016
Ankrd38	5.77456
Ankrd42	2.9489
Ankrd43	2.17661
Ankrd44	5.303
Ankrd5	3.37245
Ankrd52	3.67284
Ankrd55	3.22541
Ankrd7	3.10886
Anks1	6.8029
Anks3	4.83849
Anks4b	4.59989
Ankzf1$Ankzf1	5.01117
Antxr2	4.6395
Anubl1	4.1419
Anxa10	3.18214
Anxa13	2.76567
Anxa9	3.63125
Aoah	4.92104
Aoc3	4.5026
Aox1	4.3289
Aox3	3.57791
Aox4	3.80145
Ap1gbp1	5.68638
Ap3b2	5.43865
Ap3m2	5.43009
