Loci	ips
Ppyr1	0
Ppy	0
Ppp3r2	0
Ppp3cc	0
Ppp2r2b	0
Ppp1r9b	0
Ppp1r3d	0
Ppp1r3c	0
Ppp1r3b	0
Ppp1r3a	0
Ppp1r1c	0
Ppp1r16b	0
Ppp1r14d	0
Ppp1r14c$LOC100043766	0
Ppp1r12b	0
Ppm1h	0
Ppm1e	0
Ppfibp1	0
Ppfia3$Bcl11a	0
Ppfia2	0
Ppef2	0
Ppargc1a	0
Pparg	0
Ppara	0
Ppapdc3	0
Ppapdc2	0
Ppapdc1a	0
Pp11r	0
Pou6f2	0
Pou4f3	0
Pou4f2	0
Pou4f1	0
Pou3f4	0
Pou3f3	0
Pou3f2	0
Pou2f3	0
Pou2f2	0
Pou2af1	0
Pou1f1	0
Pot1b	0
Popdc3	0
Popdc2	0
Pop5	0
Pon3	0
Pon2	0
Pon1	0
Polr2e	0
Polq	0
Poln	0
Polh	0
Pogk	0
Pof1b	0
Podxl2	0
Pnpla5	0
Pnpla1	0
Pnoc	0
Pnma1	0
Pnliprp2	0
Pnliprp1	0
Pnlip	0
Pnck	0
Pmp2	0
Pmch	0
Plxnd1	0
Plxnc1$LOC100044106	0
Plxnb3	0
Plxna4	0
Plxna2	0
Plxdc1	0
Plunc	0
Plscr4	0
Plscr2	0
Pln	0
Pllp	0
Plg	0
Plekho1	0
Plekhh2	0
Plekhg4	0
Plekha6	0
Plek2	0
Plek	0
Pld4	0
Pld1	0
Plcz1	0
Plcxd3	0
Plcxd1	0
Plch2	0
Plcd4	0
Plcb1	0
Plb1	0
Plau	0
Plat	0
Plagl2	0
Plagl1	0
Plag1	0
Plac1l	0
Plac1	0
Pla2r1	0
Pla2g5	0
Pla2g4f	0
Pla2g4e	0
Pla2g4c	0
Pla2g3	0
Pla2g2f	0
Pla2g2e	0
Pla2g2d	0
Pla2g2a	0
Pla2g12b	0
Pla1a	0
Pknox2	0
Pkn1	0
Pkib	0
Pkia	0
Pkhd1l1	0
Pkhd1	0
